,Emotion,processed_message
11576,sadness,say mad less depress anxy mingl depress certainty get sid keep put on foot front say make less depress anxious mingle depression certainty get side keep put one foot front
11577,sadness,bless knowledg thing would ungr shar oth bless knowledge things would ungrateful share others
11578,fear,poss fail examin possibility fail examination
11579,anger,think valid complaint wil deal aspect imagin rath subject mak sur cov bas mom stil dang despit cov think valid complaint will deal aspect imagine rather subjective make sure cover base moments still dangerous despite cover
11580,anger,smil rud mak ey contact also real help smile rude make eye contact also really help
11581,anger,stubborn today got hom lik way going go get mri soon stubborn today get home way go go get mri soon
11582,sadness,heartbrok ent semipro heartbroken enter semipro
11583,sadness,embarass humy sad mis titl perm link already fal lov embarassed humiliate sad miserable title permanent link already fall love
11584,love,could blak sharply felt littl del guess could say could blake sharply felt little delicate guess could say
11585,anger,stressed overwork run fum stress overwork run fume
11586,fear,guess talk enough peopl real intimid meet oth first tim guess talk enough people realize intimidate meet others first time
11587,joy,incred reliev incredibly relieve
11588,joy,progress get don pretty confid get don hit clos wir progressively get do pretty confident get do hit close wire
11589,love,gre rel bless strong mal fig lif tru tre lik princess great relationship bless strong male figure life truly treat princess
11590,joy,jump saunt spa are pleas jump saunter spa area please
11591,fear,restless otherw known useless lazy tak long break writ restless otherwise know useless lazy take long break write
11592,sadness,unfortun tak drast meas post not tru lov post new work flickr interact new peopl world unfortunate take drastic measure post notice truly love post new work flickr interact new people world
11593,anger,want bury hatchet ev though would best interest simply apolog person insult would mak lik punk want bury hatchet even though would best interest simply apologize person insult would make punk
11594,love,lot miss inform prevy fin commun went guy ev lik adv afraid way want commun tel lot miss information previous final communication go guy ever advise afraid way want communicate tell
11595,joy,relax sleep relax sleep
11596,joy,real fantast writ list stil every tim read really fantastic write list still every time read
11597,surprise,wak daz deep slumb convolv sometim exhaust dream bit lik href http skdd wake daze deep slumber convolute sometimes exhaust dream bite href http skdd
11598,sadness,sometim quit isol liv reg are oft think sometimes quite isolate live regional area often think
11599,joy,want aw aston amaz thing hap want awe astonishment amaze thing happen
11600,sadness,want drown excit hyp inaug stil troubl americ world right want drown excitement hype inauguration still trouble america world right
11601,sadness,blam everyth blame everything
11602,sadness,ey study pretty jad href http maturestudenthanginginth eye study pretty jade href http maturestudenthanginginthere
11603,sadness,mass id alway lik tak bor rout massive identity always take bore route
11604,joy,work company mak valu ev work minisc though integr part op work company make value even work miniscule though integral part operation
11605,joy,mellow mov k mellow move k
11606,sadness,lik useless dust bunny useless dust bunnies
11607,love,support enco supportive encourage
11608,sadness,end groggy rest day amp guil get anyth don end groggy rest day amp guilty get anything do
11609,sadness,quit job hat class thumbnail wid quit job hat class thumbnail width
11610,fear,prob reason bit agit probably reason bite agitate
11611,joy,us around wee hour morn changel anyon socy giv cal stop use around wee hours morning changeling anyone sociable give call stop
11612,sadness,drain ment phys real nee get back bet spot drain mentally physically really need get back better spot
11613,joy,would peac easygo would peaceful easygoing
11614,joy,got enco phon cal day hop get encourage phone call day hopeful
11615,sadness,unwelcom gary mov back unwelcome gary move back
11616,fear,think quit bas nee want oth scar mak peopl uncomfort self injury mak friend lik off enough support cut someth sad teen think quit base need want others scar make people uncomfortable self injury make friends offer enough support cut something sad teenagers
11617,fear,reluct walk reluctant walk
11618,joy,lik cab potato venison compon rich stew pomegr see meant cut thick oi rest dish cabbage potatoes venison components rich stew pomegranate seed mean cut thick oiliness rest dish
11619,joy,profound bless fin good plac lif peac know would want husband abl recogn quick profoundly bless finally good place life peace know would want husband able recognize quickly
11620,joy,pass post passionate post
11621,joy,glad abl help oth compass list gift lord def gav glad able help others compassion listen gift lord def give
11622,anger,stressed upcom ev drown overwhelm much nee ord get hous back ord long week ahead husband town stress upcoming events drown overwhelm much need order get house back order long week ahead husband town
11623,sadness,hat needy hate needy
11624,sadness,kal ni aku dah bertuk jad bor benc kali ni aku dah bertukar jadi bore benci
11625,fear,helpless abl help bet best enco think posit mom helpless able help better best encourage think positively mom
11626,fear,frant try rememb breath laugh frantic try remember breathe laugh
11627,sadness,kind ungr everyon alway writ friend nev kind ungrateful everyone always write friends never
11628,sadness,lik lam wif lame wife
11629,anger,know lik top head much yesterday real bothersom stil littl mad know top head much yesterday really bothersome still little mad
11630,joy,sens keny op interact support shiraish instead hap pat shiraish should sense kenya openly interact support shiraishi instead happen pat shiraishi shoulder
11631,joy,joy new begin joyful new begin
11632,sadness,senty reflect past day sentimental reflective past days
11633,joy,lik hand kid say think cut hand kid say think cute
11634,fear,spar gear bik cop two punct particul paranoid rac tyr already two punct prevy three tim tak train spare gear bike cope two puncture particularly paranoid race tyres already two puncture previous three time take train
11635,fear,found good artic medy threatened intimid ex control lif control ex child manip ex find good article mediate threaten intimidate ex control life control ex child manipulate ex
11636,sadness,submit rec submissive recently
11637,anger,strongly condon viol method achiev polit goal strongly condone violent methods achieve political goal
11638,joy,carefr young amaz carefree young amaze
11639,joy,could ad input adv guid mad valu could add input advice guidance make valuable
11640,fear,littl uncertain structure revalid portfolio little uncertain structure revalidation portfolio
11641,joy,plac relax inform place relax informal
11642,joy,find tim respect get point across someth may mak uncomfort nic seem enco thing keep hap find time respect get point across something may make uncomfortable nice seem encourage things keep happen
11643,anger,rush lack tim jerry springer weath amp sud want put porn confus hey let enjoy fun fun fun without hun without block hyp rush lack time jerry springer weather amp suddenly want put porn confuse hey let enjoy fun fun fun without hun without block hype
11644,sadness,disco point discourage point
11645,anger,tru portray jes movy gratuit viol truly portrayal jesus movie gratuitously violent
11646,fear,sleep couch flo stil shak off gent sleep couch floor still shake offer gently
11647,sadness,guess real melancho sad peopl movy heavy us cello soundtrack mak anyth seem sad guess really melancholy sad people movie heavy use cello soundtrack make anything seem sad
11648,surprise,il ad tri tim adapt pick techn quick on thing amaz tak long ill add try time adapt pick techniques quickly one things amaze take long
11649,joy,joy lik faith view glory holy plac hor gre dark upon fear dread hath overwhelm joy faithful view glory holy place horror great darkness upon fearful dread hath overwhelm
11650,sadness,real sad girlfriend ev op commun really sad girlfriend even open communicate
11651,surprise,also cury read read want dep understand soc construct also found unit giv opportun understand philosoph typ construct also curious read read want depth understand social constructivism also find unit give opportunity understand philosophy type constructivism
11652,sadness,try explain ord think ungr bless child try explain order think ungrateful bless child
11653,anger,kind heartless kind heartless
11654,joy,rich solomon rich solomon
11655,sadness,alway bit person assault always bite personally assault
11656,fear,afraid abandon afraid abandon
11657,fear,tak leav ev distress take leave even distress
11658,fear,know distraught moody depend two put smil back fac know distraught moody depend two put smile back face
11659,joy,glam cap confid tun mind glamorous capable confident tune mind
11660,anger,could thing howev kind both pop could thing however kind bother pop
11661,love,suppos compass toward littl girl lik nev ex suppose compassionate towards little girl never exist
11662,anger,real nee money right lik greedy nasty aunt want hand everyth really need money right greedy nasty aunt want hand everything
11663,anger,think littl rebel get old lik think little rebellious get older
11664,anger,nee mov past grief mayb ev angry need move past grief maybe even angry
11665,joy,lik on child tim precy one child time precious
11666,anger,also though assum rud soon inform marry next quest follow kid also though assumption rude soon inform marry next question follow kid
11667,anger,think much sit voic sound got food mou nee mak way around everyon rud think much sit voice sound get food mouth need make way around everyone rude
11668,joy,real affy market ad delicy href http www really affiliate market add delicious href http www
11669,anger,lov mak greedy love make greedy
11670,fear,dark night felt sev peopl near know dark night felt several people near know
11671,joy,gorg fit word describ new alb humbl opin gorgeous fit word describe new album humble opinion
11672,sadness,know many peopl stil betray neil odonnel two unfortun interceiv real loss top fan list heartbreak mom pittsburgh sport hist look way know many people still betray neil odonnell two unfortunate interceptions realize loss top fan list heartbreaking moments pittsburgh sport history look way
11673,love,start sympathet toward would want dr start sympathetic towards would want dr
11674,sadness,sens chivalry magnanim whatsoev toward def opposit sense chivalry magnanimity whatsoever toward defeat opposition
11675,anger,hat bit hate bitter
11676,fear,world spin around bed coupl glass win get suspicy world spin around bed couple glass wine get suspicious
11677,sadness,though tim com vain though time come vain
11678,joy,say mak spec say make special
11679,joy,howev lik teach guid us first mon however teachers guide useful first month
11680,anger,bit jeal bitter jealous
11681,joy,met new friend rachel benedict ass fai meet new friends rachel benedict assure faith
11682,joy,want go find someth wear pesach ethn flowy perhap ev jing mak play roy tim want go find something wear pesach ethnic flowy perhaps even jingly make playful royal time
11683,joy,nee com amaz need comment amaze
11684,anger,kind distract obvy conduc work philosoph problem kind distract obviously conducive work philosophy problems
11685,sadness,groggy today tir groggy today tire
11686,sadness,jad jade
11687,sadness,know ar nes word disturb cro season somewh know ars nes word disturb croatians season somewhat
11688,joy,nee foc respons nee truth need focus responses need truthful
11689,sadness,thanksg complet lb suspicy moist turkey tradit stuff fin dea thanksg look around go ahhh start enjoy holiday rath assault thanksgiving complete lb suspiciously moist turkey traditional stuff final death thanksgiving look around go ahhh start enjoy holiday rather assault
11690,love,tend window shop alon alway going self impos limit on two naughty tend window shopper alone always go self impose limit one two naughty
11691,sadness,go cyc attend lesson tut letharg etc etc go cycle attend lessons tutorials lethargic etc etc
11692,joy,also pot fuchs grown cut last year first attempt tak cut rath pleas also pot fuchsia grow cut last year first attempt take cuttings rather please
11693,fear,inst anxy pol off going pul instantly anxious police officer go pull
11694,joy,hon privileg met honor privilege meet
11695,anger,felt unfair tre airport felt unfairly treat airport
11696,sadness,wak blad extrem unhappy found typ exerc mad wors definit irrit wake bladder extremely unhappy find type exercise make worse definitely irritate
11697,anger,agit agitate
11698,fear,stil tort thought mem still torture thoughts memories
11699,sadness,lov supervid com lik dumb dumb leav hero accompl someth hug love supervisions come dumb dumb leave heroic accomplish something huge
11700,anger,confess quit angry read neg review us boy bas victim blam slut sham confess quite angry read negative review use boys basically victim blame slut sham
11701,joy,trust enough shar pretty humy expery rememb hono guffaw com trust enough share pretty humiliate experience remember honour guffaw come
11702,anger,lik on brain rud refus sit loud rud peopl sit alon good book one brain rude refuse sit loud rude people sit alone good book
11703,sadness,lik pun pain tim punish pain time
11704,joy,want us guess want useful guess
11705,fear,start real confus start really confuse
11706,sadness,help much burd par help much burden parent
11707,sadness,swear felt lik every singl exhaust ign last month cam flood back last night swear felt every single exhaustion ignore last months come flood back last night
11708,fear,absolv overwhelm absolutely overwhelm
11709,joy,nee act cool act unconcern spec apprecy saf could see tru sid tir cov real need act cool act unconcern special appreciate safe could see truth side tire cover real
11710,fear,scar scar
11711,fear,discuss prevy last blog post apprehend audy becom toward bathroom autom nerv becom fantast trop hor fict discuss previously last blog post apprehensive audiences become towards bathrooms automatically nervous become fantastic trope horror fiction
11712,fear,put knit cov ear hand try minim assault put knit cover ears hand try minimize assault
11713,sadness,told would mak arm go numb anyth numb prick arm cal baby iv tell would make arm go numb anything numb prick arm call baby iv
11714,joy,must writ owl fearless brav must write owls fearless brave
11715,surprise,lov see book reson girl lov see fac grow sery charact fac comply tri obstac lov discuss com read tim talk main idea book mad us may surpr us love see book resonate girls love see face grow serious character face complications trials obstacles love discussions come read time talk main ideas book make us may surprise us
11716,joy,eq import know pass sid get lit every bound see equally important know passionate side get light every bind see
11717,joy,good soap janu good soap january
11718,sadness,ask felt flog wield said mad submit min least night ask felt flogger wield say make submissive mine least night
11719,joy,lov lip min saf arm ev though old lov love lips mine safe arm even though older love
11720,love,tak heart gentl ag perfect tim plac eng fearless wholes chang take heart gentle age perfect time place engage fearlessness wholesale change
11721,fear,know car enthusiast bit trib start suspicy car journ turn dark sid worry stil pref four wheel two know car enthusiasts bite tribal start suspicious car journalist turn dark side worry still prefer four wheel two
11722,joy,sur would gain much weight without help bipol med sure would gain much weight without help bipolar medications
11723,fear,though past two month strange wak hour upon ev stranger dream everyth year wisconsin though past two months strange wake hour upon even stranger dream everything years wisconsin
11724,joy,going stop bug get licens ye determin right insyallah end next year go stop bug get license yes determine right insyallah end next year
11725,love,long act sublim long actually sublime
11726,sadness,depr everyth nic end crack terr eat someth bad turn eat deprive everything nice end crack terrible eat something bad turn eat
11727,sadness,could comp john fullbright lot peopl try giv ref point lik disserv soon think oh hes lik fil blank sud hes could compare john fullbright lot people try give reference point disservice soon think oh hes fill blank suddenly hes
11728,anger,alway rush way visit com always rush way visit comment
11729,love,real ag beyond week thought gentl remind ord really age beyond week think gentle reminder order
11730,joy,thank thankful
11731,sadness,thank ut def thank utterly defeat
11732,love,already reread wrot lik portray sweet girl brat already reread write portray sweet girl brat
11733,anger,lik sav eat meat would eat hand could turkey savage eat meat would eat hand could turkey
11734,joy,lucky know min lucky know minority
11735,anger,grad littl irrit pac peopl pres wish disappear let coordin nonsens sometim gradually little irritate pacify people present wish disappear let coordinate nonsense sometimes
11736,sadness,reject lik belong circ circ real nev comfort reject belong circle circle realise never comfortable
11737,fear,hang around young peopl lik see photo us togeth sud shak see old look hang around younger people see photos us together suddenly shake see old look
11738,sadness,begin remors selfless spreading gospel begin remorseful selfless spread gospel
11739,surprise,wak kind daz groggy wake kind daze groggy
11740,surprise,stil quit amaz sil snow comp rain still quite amaze silent snow compare rain
11741,joy,real hon giv opportun tel story really honor give opportunity tell story
11742,love,guess tough wom del guess tough woman delicate
11743,anger,know lik bitchy flirty know bitchy flirty
11744,fear,threatened might tak away threaten might take away
11745,joy,gnaw hol throughout flawless soul gnaw hole throughout flawless soul
11746,sadness,bit dumb bite dumb
11747,sadness,mov northern saskatchew tru victim move northern saskatchewan truly victimize
11748,joy,sup ag ev found good shoot good shoot mov truck super agent even find good shoot good shoot move truck
11749,sadness,unimport spec friend partn etc liv unimportant special friends partner etc live
11750,sadness,happy fin script good accompl rath discont happy finish script good accomplishment rather discontent
11751,joy,liv lively
11752,joy,guess real heat lat sweet baby ray buffalo sauc bring baby guess really heat lately sweet baby ray buffalo sauce bring baby
11753,love,put less pow pain med drip control lik drug bet put less powerful pain med drip control drug better
11754,sadness,lay bed tuesday night terr lay bed tuesday night terrible
11755,fear,press soc situ ye much anym lov body enough abandon sak someon els believ pressure social situations yes much anymore love body enough abandon sake someone else beliefs
11756,love,guess widow gen pack guess widow generous pack
11757,anger,sick fact far tim depend someon stubborn proud nev want sometim hap let sick fact far time depend someone stubborn proud never want sometimes happen let
11758,joy,triumph anoth person min goal accompl triumphant another personal mini goal accomplish
11759,joy,excit mot excite motivate
11760,sadness,kept quiet littl fool quick jump conclud keep quiet little foolish quick jump conclusion
11761,joy,ass god plan assure gods plan
11762,joy,could describ lik someth mov insid pleas noth lik tru cramp imposs describ unless pok insid could describe something move inside pleasant nothing true cramp impossible describe unless poke inside
11763,joy,nev pleas meet lik know popul week newspap column ridgerun report jim solberg never pleasure meet know popular weekly newspaper column ridgerunner report jim solberg
11764,surprise,cury ad back curious add back
11765,joy,obvy youtub blog ton lik ok man nic org way obviously youtube blog ton ok manage nice organize way
11766,fear,press say someth pressure say something
11767,love,got sweet girl kick bel nev intim get sweet girl kick belly never intimacy
11768,joy,lik expl lif rady wom photograph href http lightsynt explorer life radiant woman photography href http lightsync
11769,fear,would fear kil mistress would fearful kill mistresses
11770,sadness,lov ide whit blous jump jump would bor without coll pink spik necklac undernea coll think would giv jump nic touch love idea white blouse jumper jumper would bore without collar pink spike necklace underneath collar think would give jumper nice touch
11771,fear,ought consid chang wee bit littl step backward much afraid ought consider change wee bite little step backward much afraid
11772,love,mad affect make affectionate
11773,joy,help lik warsaw nutshel gorg spac dark shadow sometim creep nev around long sun return push back help warsaw nutshell gorgeous space dark shadow sometimes creep never around long sun return push back
11774,fear,dunno around mak lik startl rabbit dunno around make startle rabbit
11775,sadness,dirty dirty
11776,fear,know emot assault fact know emotionally assault fact
11777,sadness,must say troubl href http emillionst must say trouble href http emillionstars
11778,joy,stil good enough gre still good enough greater
11779,sadness,new sooth troubl mind new uk news soothe trouble mind news uk
11780,sadness,sorry famy friend sorry family friends
11781,sadness,listless lost listless lose
11782,anger,hap wit sad act happen witness sadistic act
11783,joy,pretty confid giv endless opinon pretty confident give endless opinons
11784,joy,valu scor track terr low value score track terribly low
11785,joy,lik tot trust someon soul submit wal go restless nev end totally trust someone soul submit wall go restlessness never end
11786,love,list ref vers look read remind thought reject haunt belov child god list reference verse look read remind thoughts rejection haunt beloved child god
11787,fear,mean lik burd breath sud terr octob past week mean burden breathe suddenly terrify october past weeks
11788,sadness,real depr really deprive
11789,anger,hap see videotap movy americ part on friend plac happen see videotape movie america part one friends place
11790,anger,right jeal nam think na us begin right jealous naman think na us begin
11791,sadness,sit alon sit alone
11792,fear,bik bik kind strange bike bike kind strange
11793,fear,littl strange recommend on wrot first night marsh book invit glen writ second little strange recommend one write first night marshal book invite glenn write second
11794,love,already decid lik guy enough want die got sink soon company walk door guy already lik going die horr dea already decide guy enough want die get sink soon company walk door guy already go die horrible death
11795,fear,rememb terr around plant back kid remember terrify around plant back kid
11796,sadness,tot disillud med school london espec un totally disillusion med school london especially uni
11797,fear,wish novemb away try forget thanksg nee mind real mat overwhelm wish november away try forget thanksgiving need mindful really matter overwhelm
11798,anger,greedy greedy
11799,joy,hono read understand incorp sport honour readers understand incorporate sport
11800,anger,rud say get back nic nee pref work href http www rude say get back nice need prefer work href http www
11801,sadness,littl melancho tonight day ago little melancholy tonight days ago
11802,anger,end episod real piss end episode really piss
11803,joy,lik ok least pray every night ok least pray every night
11804,anger,distract sometim hard talk god us second nat distract sometimes hard talk god use second nature
11805,sadness,cam kitch child stil dream lik min baby kitch tabl told moth expect get kind dam child narrow unwil emot support come kitchen childhood still dream mini baby kitchen table tell mother expect get kind damage child narrow unwilling emotional support
11806,anger,would obnoxy would obnoxious
11807,sadness,vain report everyday hap lif vain report everyday happen life
11808,sadness,put on sid foc follow vert sham revel alleg ev id egalit socy rev stat on unt would cit asham put one side focus follow version shameful revelations allegation even ideal egalitarian society reveal state one untalented would citizens ashamed
11809,joy,valu contribut know shar id discov oth value contribute know share id discover others
11810,joy,watch footbal match old friend perform team good team memb ful spirit match excel every tim goal scor felt excit watch football match old friend performance team good team members full spirit match excellent every time goal score felt excite
11811,anger,want dissatisfy want happy fulfil want lack someth noth lif would empty want dissatisfy want happy fulfil want lack something nothing life would empty
11812,fear,got went hom sick today stil bit shaky david help fix brok handrail bas stair get go home sick today still bite shaky david help fix break handrail basement stairs
11813,sadness,lik doom start yet stil togeth two year lat doom start yet still together two years later
11814,anger,know lat dissatisfy know lately dissatisfy
11815,sadness,stomach ach grumbl stomach ache grumble
11816,love,lik mom thing worry org support let forget giv at deserv moment things worry organise supportive let forget give attention deserve
11817,sadness,compuls get low compulsion get low
11818,sadness,know hat peopl say stop think try get help distract also try get ur anxy healthy help way know hat people say stop think try get help distract also try get ur anxiety healthy helpful way
11819,sadness,disco beat bet pray obvy cal mam friend discourage beat better pray obviously call mama friends
11820,anger,less agit bit sad sometim less agitate bite sad sometimes
11821,love,miss lov miss love
11822,sadness,chain wel tim hard gaug flog pierc cut blind fold hot wax put onto depr light sound period nev abus chain well time hard gauge flog pierce cut blind fold hot wax put onto deprive light sound periods never abuse
11823,joy,chos mak amaz choose make amaze
11824,anger,becom aw impaty think thing going fast enough choos chang think remind god tim perfect become aware impatient think things go fast enough choose change think remind god time perfect
11825,love,spend every day wait hear lik idiot car spend every day wait hear idiot care
11826,joy,end real proud fin produc end really proud final product
11827,sadness,cry suff mankind let go let pain flow cry suffer mankind let go let pain flow
11828,anger,grandmoth cam stay us perm difficult person stay start tel fals story us peopl grandmother come stay us permanently difficult person stay start tell false stories us people
11829,sadness,discov song cal bring flow hop beauty help melancho whenev list discover song call bring flower hope beautiful help melancholy whenever listen
11830,fear,insec around peopl marvel peopl humbl insecure around people marvel people humble
11831,love,tak control baby kiss lip kiss thigh got think perfect sh alway tend mild got lov min take control baby kiss lips kiss thighs get think perfect sh always tender mild get love mine
11832,sadness,devast los someth oth may see triv god tak weight devastate lose something others may see trivial god take weight
11833,sadness,humy introduc colleagu wif humiliate introduce colleagues wife
11834,anger,hear many thing hap back singap get irrit depress abl hear many things happen back singapore get irritate depress able
11835,love,del today delicate today
11836,joy,pleas support peopl smal busy work hom buy gift mad car tal please support people small businesses work home buy gift make care talent
11837,surprise,learn tak dip dat pool rel alway bet surpr disappoint learn take dip date pool relationships always better surprise disappoint
11838,fear,stil try find foot three year shaky ev still try find foot three years shaky ever
11839,anger,want frust anym want frustrate anymore
11840,sadness,lik abus rap defil abuse rap defile
11841,sadness,remors remorseful
11842,fear,helpless goal reach noth achiev helpless goal reach nothing achieve
11843,fear,way ski slop difficult steep way ski slope difficult steep
11844,sadness,start bit homesick ment mullig nam start bite homesick mention mulligans name
11845,fear,could least count frant group follow bird mov nor tre could least count frantic group follow bird move north tree
11846,sadness,rath vain today hair look good decid entir post beauty produc rather vain today hair look good decide entire post beauty products
11847,anger,lik lif gav plenty chang shin piss every on life give plenty change shine piss every one
11848,fear,get tract start tort tim friend den put get traction start torture time friend denise put
11849,anger,grumpy week an outbreak ptpt pre te pouh tend sur gre deal grumpy week grumpy week annual outbreak ptpt pre te pouhere tension surely great deal grumpy week
11850,sadness,mistak tha busy lead din asham setback held thailand back ful pot mistake thai business leaders dinner ashamed setbacks hold thailand back full potential
11851,joy,ev valu person even valuable person
11852,surprise,look back desp cury look back desperately curious
11853,fear,complet uns bound normalcy completely unsure boundaries normalcy
11854,love,know many read also non mak wear know sometim long least someth touch know many readers also non make wearers know sometimes long least something touch
11855,sadness,could find dog miss could find dog miss
11856,anger,tend littl relax day forc bit flex toddl lot day left frust get don tend little relax days force bite flexible toddlers lot days leave frustrate get do
11857,sadness,somehow regret somehow regretful
11858,joy,privileg hon abl repres colleg prestigy ev privilege honor able represent college prestigious event
11859,love,wond lik car stop car wonder care stop care
11860,sadness,sort lam lon sort lame lonely
11861,anger,help bi jeal profess org good support system comfort liv situ help bi jealous professional organization good support system comfortable live situation
11862,fear,apprehend adopt label ev ident que seem stil quit unclear subject keep sep que commun lik joel apprehensive adopt label even identify queer seem still quite unclear subject keep separate queer community joel
11863,love,cam away bit sympathet think chant anyth besid come away bite sympathetic think chance anything besides
11864,joy,smil mus prob supery felt somehow supery fresh scrubbed colleg folk slum among huddl mass smile muse probably superior felt somehow superior fresh scrub college folks slum among huddle mass
11865,joy,admit afraid on thing mak cont admit afraid one thing make content
11866,joy,privileg read work fulfil everyth want book privilege read work fulfil everything want book
11867,joy,privileg cal cousin privilege call cousins
11868,joy,lik nam drop thrilled many beauty tal peopl world many seem congreg rhinebeck weekend name drop thrill many beautiful talented people world many seem congregate rhinebeck weekend
11869,anger,get angry bit get angry bitter
11870,love,peopl ought us percol synonym horny people ought use percolate synonym horny
11871,fear,incred nerv incredibly nervous
11872,joy,stil long way go cal joy homemak still long way go call joyful homemaker
11873,joy,got back month quilt meet inspir get back monthly quilt meet inspire
11874,joy,lik ecst want cry tim ecstatic want cry time
11875,anger,start cold start cold
11876,sadness,helpless lack right mom want go edmonton wainwright look david helpless lack right moment want go edmonton wainwright look david
11877,sadness,suspect big reason many screen interact fak suspect big reason many screen interactions fake
11878,sadness,weight emot issu much weight emotional issue much
11879,joy,real attract peopl cool norm really attract people cool normal
11880,joy,strong dodg intern dist run strong dodge international distance runners
11881,sadness,hir bil sash pay bil play catch work miss hire billy sasha pay billy play catch work miss
11882,joy,excit play know tim get rid high heel cal day excite play know time get rid high heel call day
11883,fear,complet card ago reluct post complete card ago reluctant post
11884,sadness,not body happy eat red meat last week letharg littl seedy noth put seem notice body happy eat red meat last week lethargic little seedy nothing put seem
11885,sadness,sting word dul ach heavy tear duc mis highschool lif alway target sting word dull ache heavy tear ducts miserable highschool life always target
11886,sadness,lik submit let many peopl walk submissive let many people walk
11887,sadness,horr would pref extend deepest sorrow rel bookmark perm link zum eint horrible would prefer extend deepest sorrow rel bookmark permanenter link zum eintrag
11888,fear,know medy mean everyon els process valu fre express inevit leav vuln expos long delay anxy build know mediation mean everyone else process value freely express inevitably leave vulnerable expose longer delay anxiety build
11889,fear,lik shak funk flo around last bit shake funk float around last bite
11890,sadness,lik dam good ev burn prem damage goods ever burn prematurely
11891,joy,talk anyon lik burd problem nee deal min wel talk anyone burden problems need deal mine well
11892,anger,lik hat sint hat since
11893,joy,cas friday ess company man work mantr casual fridays essential company manage work mantra
11894,surprise,enthral lyr rhythm enthral lyric rhythm
11895,sadness,pervers pleas know much opposit everyth suppos perverse pleasure know much opposite everything suppose
11896,sadness,inclin think disturb least part due manifest problem tact incline think disturb least partly due manifest problems tactic
11897,sadness,groggy want sleep ask kind surgery multiply quest groggy want sleep ask kind surgery multiplication question
11898,sadness,stressed bit anxy stress bite anxious
11899,joy,nee confid stroke play rec ind wrist found x trem best help recov yet stil play need confident stroke play recently injure wrist find x tremus best help recover yet still play
11900,anger,know kil solv noth hopeless sad destroy slow lik self might good cho know kill solve nothing hopelessness sadness destroy slowly selfish might good choice
11901,love,littl tend swol hot are today little tender swell hot area today
11902,sadness,start less exhaust bit piec lif start seem far surmount start less exhaust bits piece life start seem far surmountable
11903,joy,may way fact story cre adult meant childr contain mess innoc real mak wond exact mat may way fact stories create adults mean children contain message innocent really make wonder exactly mature
11904,sadness,hug fan on best friend high school lov many brittney song remind tim act friend list alon huge fan one best friends high school love many brittneys songs remind time actually friends listen alone
11905,sadness,ach insid ache inside
11906,joy,amp inspir amped inspire
11907,joy,thank book york peppermint patty find room year becom dear friend min blak thankful book york peppermint patties find roommate year become dear friend mine blake
11908,sadness,going mak eat lik suff giv anyth going mak going gain could eat go make eat suffer give anything go make go gain could eat
11909,sadness,tir sorry tire sorry
11910,sadness,going pain breakup went look anyth would mak less anct go painful breakup go look anything would make less anguish
11911,anger,slight snob slightly snobbish
11912,surprise,aw surpr disappoint think ev real thought c sect aware surprise disappoint think ever really think c section
11913,sadness,lik boy inhibit boys inhibit
11914,anger,lik think handl lot lik cup runne get irrit think handle lot cup runneth get irritable
11915,joy,relax improv front group dant oppos relax improvise front group dancers oppose
11916,love,lov comfort around hunt sweet famy love comfort around hunters sweet family
11917,love,long endless lov mayb could let long endless love maybe could let
11918,anger,told omangy viol good mood tell omangy violent good mood
11919,love,hot mov wel hot move well
11920,fear,help agit help agitate
11921,joy,find pick draw somehow heung min son someth spec stor us find pick draw somehow heung min son something special store us
11922,fear,mom past coupl day restless lik nee mov around const moments past couple days restless need move around constantly
11923,joy,want disappoint sur com get traff recognit want disappointment sure come get traffic recognition
11924,love,clos get complet fuzzy lov grew fond close get complete fuzzy love grow fond
11925,joy,good cook mind cont everytim got prep simpl humbl dish eat good cook mind content everytime get prepare simple humble dish eat
11926,joy,tru ter truly terrific
11927,fear,known person mis year stil pretty shak know person miserable years still pretty shake
11928,fear,see clash alarm chang planet rath lacon whol thing see clash alarm change planet rather laconic whole thing
11929,anger,know liv new york anym out could hap city know live new york anymore outrage could happen city
11930,joy,lik broth complet fin abl mov job anyth brother completely fine able move job anything
11931,anger,cranky already cranky already
11932,fear,help petr fut ev going get bet help petrify future ever go get better
11933,love,us smel bit flor cup tea howev lov mak fac soft smoo lik pol use smell bite floral cup tea however lovely make face soft smooth polish
11934,fear,think mayb person giv fak hop want show afraid girl react think maybe person give fake hope want show afraid girl reactions
11935,sadness,already stressed without try sort lot already stress without try sort lot
11936,anger,real greedy lik hog really greedy hog
11937,fear,hat interrupt tru uncomfort hate interrupt truth uncomfortable
11938,fear,cut lin mak fit mak sound bit rush let us mak believ rush act frant entir delib shal cut line make fit make sound bite rush let us make believe rush actually frantic entirely deliberate shall
11939,joy,tru valu lifestyl avail anyon choos truly valuable lifestyle available anyone choose
11940,joy,try explain emot empty mak seem amus impaty lik ev going get try explain emotionally empty make seem amuse impatient ever go get
11941,sadness,bit fool bite foolish
11942,sadness,try sound depress sad heartbrok shitty hum try sound depress sad heartbroken shitty human
11943,love,long connect already brav enough complet friend long connections already brave enough complete friendships
11944,sadness,someth back mov piano week herc terr stupid bit mis morn turn post something back move piano week hercules terribly stupid bite miserable morning turn post
11945,sadness,real dumb also way sympathy peopl real lif long allergy really dumb also way sympathy people real life long allergies
11946,joy,stil energet right still energetic right
